customer_id,transaction_date,transaction_type,amount,related_loan_id
1001,2023-04-29,loan_disbursement,6600.0,5000
1001,2023-05-29,repayment,1155.0,5000
1001,2023-06-28,repayment,1155.0,5000
1001,2023-07-28,repayment,1155.0,5000
1001,2023-08-27,repayment,1155.0,5000
1001,2023-09-26,repayment,1155.0,5000
1001,2023-10-26,repayment,1155.0,5000
1001,2023-09-03,loan_disbursement,5600.0,5001
1001,2023-10-03,repayment,245.0,5001
1001,2023-11-02,repayment,245.0,5001
1001,2023-12-02,repayment,245.0,5001
1001,2024-01-01,repayment,245.0,5001
1001,2024-01-31,repayment,245.0,5001
1001,2024-03-01,repayment,245.0,5001
1001,2024-03-31,repayment,245.0,5001
1001,2024-04-30,repayment,245.0,5001
1001,2024-05-30,repayment,245.0,5001
1001,2024-06-29,repayment,245.0,5001
1001,2024-07-29,repayment,245.0,5001
1001,2024-08-28,repayment,245.0,5001
1001,2024-09-27,repayment,245.0,5001
1001,2024-10-27,repayment,245.0,5001
1001,2024-11-26,repayment,245.0,5001
1001,2024-12-26,repayment,245.0,5001
1001,2024-02-09,loan_disbursement,9500.0,5002
1001,2024-03-10,repayment,455.21,5002
1001,2024-04-09,repayment,455.21,5002
1001,2024-05-09,repayment,455.21,5002
1001,2024-06-08,repayment,455.21,5002
1001,2024-07-08,repayment,455.21,5002
1001,2024-08-07,repayment,455.21,5002
1001,2024-09-06,repayment,455.21,5002
1001,2024-10-06,repayment,455.21,5002
1001,2024-11-05,repayment,455.21,5002
1001,2024-12-05,repayment,455.21,5002
1003,2023-06-09,loan_disbursement,3300.0,5003
1003,2023-07-09,repayment,632.5,5003
1003,2023-08-08,repayment,632.5,5003
1003,2023-09-07,repayment,632.5,5003
1003,2023-10-07,repayment,632.5,5003
1003,2023-11-06,repayment,632.5,5003
1003,2023-12-06,repayment,632.5,5003
1003,2023-07-09,loan_disbursement,5200.0,5004
1003,2023-08-08,repayment,498.33,5004
1003,2023-09-07,repayment,498.33,5004
1003,2023-10-07,repayment,498.33,5004
1003,2023-11-06,repayment,498.33,5004
1003,2023-12-06,repayment,498.33,5004
1003,2024-01-05,repayment,498.33,5004
1003,2024-02-04,repayment,498.33,5004
1003,2024-03-05,repayment,498.33,5004
1003,2024-04-04,repayment,498.33,5004
1003,2024-05-04,repayment,498.33,5004
1003,2024-06-03,repayment,498.33,5004
1003,2024-07-03,repayment,498.33,5004
1003,2023-12-23,loan_disbursement,4500.0,5005
1003,2024-01-22,repayment,862.5,5005
1003,2024-02-21,repayment,862.5,5005
1003,2024-03-22,repayment,862.5,5005
1003,2024-04-21,repayment,862.5,5005
1003,2024-05-21,repayment,862.5,5005
1003,2024-06-20,repayment,862.5,5005
1004,2023-03-27,loan_disbursement,4600.0,5006
1004,2023-04-26,repayment,881.67,5006
1004,2023-05-26,repayment,881.67,5006
1004,2023-06-25,repayment,881.67,5006
1004,2023-07-25,repayment,881.67,5006
1004,2023-08-24,repayment,881.67,5006
1004,2023-09-23,repayment,881.67,5006
1005,2023-06-28,loan_disbursement,14800.0,5007
1005,2023-07-28,repayment,1418.33,5007
1005,2023-08-27,repayment,1418.33,5007
1005,2023-09-26,repayment,1418.33,5007
1005,2023-10-26,repayment,1418.33,5007
1005,2023-11-25,repayment,1418.33,5007
1005,2023-12-25,repayment,1418.33,5007
1005,2024-01-24,repayment,1418.33,5007
1005,2024-02-23,repayment,1418.33,5007
1005,2024-03-24,repayment,1418.33,5007
1005,2024-04-23,repayment,1418.33,5007
1005,2024-05-23,repayment,1418.33,5007
1005,2024-06-22,repayment,1418.33,5007
1005,2023-11-06,loan_disbursement,17900.0,5008
1005,2023-12-06,repayment,1566.25,5008
